X,Y,Z
-5.0,-5.0,0.7088612918380417
-4.898989898989899,-5.0,0.6569920930522233
-4.797979797979798,-5.0,0.6024005398983897
-4.696969696969697,-5.0,0.5454743285580685
-4.595959595959596,-5.0,0.4866010284404519
-4.494949494949495,-5.0,0.42616487490195226
-4.393939393939394,-5.0,0.3645437265798462
-4.292929292929293,-5.0,0.3021062112202225
-4.191919191919192,-5.0,0.23920908105240687
-4.090909090909091,-5.0,0.17619479579151537
-3.9898989898989896,-5.0,0.11338934827627266
-3.888888888888889,-5.0,0.051100344609596095
-3.787878787878788,-5.0,-0.010384652496372675
-3.686868686868687,-5.0,-0.07079951162263717
-3.5858585858585856,-5.0,-0.12990064934862758
-3.484848484848485,-5.0,-0.18746787633340714
-3.383838383838384,-5.0,-0.24330497624287348
-3.282828282828283,-5.0,-0.29724002373725217
-3.1818181818181817,-5.0,-0.34912545029513187
-3.080808080808081,-5.0,-0.3988378690033175
-2.9797979797979797,-5.0,-0.44627767156251885
-2.878787878787879,-5.0,-0.4913684126278692
-2.7777777777777777,-5.0,-0.5340559982045119
-2.676767676767677,-5.0,-0.5743076961405249
-2.5757575757575757,-5.0,-0.6121109877947405
-2.474747474747475,-5.0,-0.647472280702706
-2.3737373737373737,-5.0,-0.6804155025214588
-2.272727272727273,-5.0,-0.7109805967089277
-2.1717171717171717,-5.0,-0.7392219402969455
-2.070707070707071,-5.0,-0.7652067037624772
-1.9696969696969697,-5.0,-0.7890131724084035
-1.868686868686869,-5.0,-0.8107290478552427
-1.7676767676767677,-5.0,-0.8304497472442492
-1.6666666666666665,-5.0,-0.8482767165888189
-1.5656565656565657,-5.0,-0.8643157734160596
-1.4646464646464645,-5.0,-0.878675492446294
-1.3636363636363638,-5.0,-0.8914656465988167
-1.2626262626262625,-5.0,-0.9027957141214786
-1.1616161616161618,-5.0,-0.9127734611529809
-1.0606060606060606,-5.0,-0.9215036075723673
-0.9595959595959593,-5.0,-0.9290865826000181
-0.858585858585859,-5.0,-0.9356173753154952
-0.7575757575757578,-5.0,-0.941184484073081
-0.6565656565656566,-5.0,-0.9458689677445707
-0.5555555555555554,-5.0,-0.949743600814542
-0.45454545454545503,-5.0,-0.9528721336041687
-0.3535353535353538,-5.0,-0.955308658308123
-0.2525252525252526,-5.0,-0.9570970810917877
-0.15151515151515138,-5.0,-0.9582707002037004
-0.050505050505050164,-5.0,-0.9588518898962103
0.050505050505050164,-5.0,-0.9588518898962103
0.15151515151515138,-5.0,-0.9582707002037004
0.2525252525252526,-5.0,-0.9570970810917877
0.3535353535353538,-5.0,-0.955308658308123
